,product_id,I_%_ 23,F_%_ 23,L_%_ 23,I_%_ 24,F_%_ 24,L_%_ 24,I_%_ 26,F_%_ 26,L_%_ 26,I_%_ 41,F_%_ 41,L_%_ 41,I_%_ 48,F_%_ 48,L_%_ 48,I_%_180,F_%_180,L_%_180,I_%_188,F_%_188,L_%_188,I_%_407,F_%_407,L_%_407,I_%_490,F_%_490,L_%_490
453,139602,100.0,0.0,0.0,62.06896551724138,17.24137931034483,20.689655172413794,17.24137931034483,34.48275862068966,48.275862068965516,100.0,0.0,0.0,0.0,3.4482758620689653,96.55172413793103,100.0,0,0.0,20.689655172413794,79.3103448275862,0.0,100.0,0.0,0.0,17.24137931034483,0.0,82.75862068965517
454,152878,100.0,0.0,0.0,48.275862068965516,17.24137931034483,34.48275862068966,3.4482758620689653,48.275862068965516,48.275862068965516,86.20689655172413,13.793103448275861,0.0,0.0,48.275862068965516,51.724137931034484,86.20689655172413,0,13.793103448275861,34.48275862068966,34.48275862068966,31.03448275862069,100.0,0.0,0.0,31.03448275862069,0.0,68.96551724137932
455,143099,0.0,0.0,100.0,34.48275862068966,51.724137931034484,13.793103448275861,0.0,0.0,0.0,93.10344827586206,6.896551724137931,0.0,0.0,0.0,0.0,100.0,0,0.0,100.0,0.0,0.0,0.0,96.55172413793103,3.4482758620689653,0.0,0.0,0.0
456,136029,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,86.20689655172413,13.793103448275861,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
457,136032,0.0,0.0,100.0,27.586206896551722,72.41379310344827,0.0,27.586206896551722,72.41379310344827,0.0,100.0,0.0,0.0,27.586206896551722,72.41379310344827,0.0,0.0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
458,136033,0.0,0.0,100.0,27.586206896551722,72.41379310344827,0.0,27.586206896551722,72.41379310344827,0.0,100.0,0.0,0.0,3.4482758620689653,96.55172413793103,0.0,0.0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
459,136034,72.41379310344827,0.0,27.586206896551722,10.344827586206897,17.24137931034483,72.41379310344827,10.344827586206897,17.24137931034483,72.41379310344827,100.0,0.0,0.0,0.0,27.586206896551722,72.41379310344827,72.41379310344827,0,27.586206896551722,0.0,0.0,0.0,100.0,0.0,0.0,72.41379310344827,0.0,27.586206896551722
460,136037,0.0,0.0,100.0,31.03448275862069,58.620689655172406,10.344827586206897,20.689655172413794,75.86206896551724,3.4482758620689653,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0,100.0,6.896551724137931,3.4482758620689653,89.65517241379311,93.10344827586206,6.896551724137931,0.0,0.0,0.0,0.0
461,136035,0.0,0.0,100.0,31.03448275862069,58.620689655172406,10.344827586206897,20.689655172413794,75.86206896551724,3.4482758620689653,100.0,0.0,0.0,37.93103448275862,62.06896551724138,0.0,0.0,0,0.0,0.0,0.0,0.0,93.10344827586206,6.896551724137931,0.0,0.0,0.0,100.0
462,136036,0.0,0.0,100.0,31.03448275862069,58.620689655172406,10.344827586206897,20.689655172413794,75.86206896551724,3.4482758620689653,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0,100.0,0.0,0.0,0.0,93.10344827586206,6.896551724137931,0.0,0.0,0.0,100.0
